livre.chapitre.verset,Francais,Anglais,BIBALDA_TA_PELDETTA,Bulu,Guiziga,Fulfulde_Adamaoua,Fulfulde_DC,KALATA_KO_SC_Gbaya,KALATA_KO_DC_Gbaya,Kapsiki_DC,Tupurri
NAM.1.1, Oracle sur Ninive. Livre de la Vision de Nahum d'Elqosch.,The burden of Nineveh. The book of the vision of Nahum the Elkoshite.,"Ɗerwelda kayni ka law kat Ninive. Kayni mi sle ma ɗekay kir sa ma jobta-Lawna ma yum Nahum, ma hay Elkosna.",Nkulane mejô asu Ninive. Kalate ñyenane mame Nahum môte ya Elkôs.,"Tila mi vur walahay Niniv. Misi ani na i mingiɓi, Buymisemuŋ minjika da Nahum, mbur Elkos.",Ɗo woni koŋngol dow Niniwe . Deftere nde'e ɗon anndina ko Nahum Elkosiijo yi'i.,Ɗo woni koŋngol dow Niniwe . Deftere nde'e ɗon anndina ko Nahum Elkosiijo yi'i.,Ŋga wen ko Sɔ̧ zu Ninivɛ nɛ mɔ'ɔ. Kalata’ɛ usi nɛ mɔ nɛ Nahum be Ɛlkos zɔka tɛ ŋgimbi'i.,Ŋga wen ko Sɔ̧ zu Ninivɛ nɛ mɔ'ɔ. Kalata’ɛ usi nɛ mɔ nɛ Nahum be Ɛlkos zɔka tɛ ŋgimbi'i.,"Ghena te ghəa Ninive. Palepa ta wəsə nya nakɛ Nahəwm, nde Ɛlkosh, laka kelɛŋə.",Poçoçre waçaçre ma ti Ninif no. Kefter naage nen mani Nahum je Elkos no.
NAM.1.2," C'est un Dieu jaloux et vengeur que Yahweh ; vengeur est Yahweh et connaissant le courroux ; Yahweh se venge de ses adversaires, et garde rancune à ses ennemis.","God is jealous, and the  Lord  revengeth; the  Lord  revengeth, and is furious; the  Lord  will take vengeance on his adversaries, and he reserveth wrath for his enemies.","Ma-vatɗina nam mi Lawn ma hunay ŋolo, nam job yalamu; Ma-Vatɗina job yalamu tam sa gaw kalamna, sa gaw kalamna nam ŋom lawta visi hay dikamu.","Nti a ne e Zambe a nʼaban, a kun émien; Nti a kun émien, a ne njalan a ayaa; Nti a kun émien e be besiñe bé, teke jamé be.","Bumbulvuŋ i Buymisemuŋ misi suloŋ, yo a pul cuwal ma. Bumbulvuŋ i mupula cuwal, himaˀ naŋ a gi zluwun. Mizli mazliram ti naŋ ta na, Bumbulvuŋ a pula cuwal naŋ ar taŋ, a zuɓ himaˀ fõh fõh ng'ar mesene naŋhaya.","Jawmiraawo o Allah kaajuɗo, o waatoto! Jawmiraawo waatoto, o keewɗo tikkere, o waatoto wanywanyɓe maako, o yejjitittaa aybe konne'en maako! ","Jawmiraawo o Allah kaajuɗo, o waatoto! Jawmiraawo waatoto, o keewɗo tikkere, o waatoto wanywanyɓe maako, o yejjitittaa aybe konne'en maako! ",GASA WAN de gɔya tɛ bíí dee; a̧ kifi er ɗaŋmɔ kifi. GASA WAN kifi er ɗaŋmɔ kifi; see-aa nyim ɗaŋ de na. GASA WAN kifi er ɗaŋmɔ kifi ha̧ o wi-kur-zu-a; a̧ e kiri ee in o wisɛn kɔ̧-a̧.,GASA WAN de gɔya tɛ bíí dee; a̧ kifi er ɗaŋmɔ kifi. GASA WAN kifi er ɗaŋmɔ kifi; see-aa nyim ɗaŋ de na. GASA WAN kifi er ɗaŋmɔ kifi ha̧ o wi-kur-zu-a; a̧ e kiri ee in o wisɛn kɔ̧-a̧.,"Nahe Mahwətə kenza kaShala nya kezlɛ ba'a nya kewa ghena. Nahe Mahwətə kenza kande wa ghena, nahe hwepe wənəa ŋkɛ kenza dzawe. Kawa ghena Mahwətə te ka ghema ta ŋkɛ, kahwepe nda wənə ŋkɛ ke ka jaga ta ŋkɛ.","Manwur diñ Baa ma de huni, aà sa' hee see äe go. Manwur sa' hee see äe go, aà go de ba äil de wañ. Manwur sa' hee see äe go de jar giñgi äen wo. AÀ ëaw jar hee äen wo äili."
NAM.1.3," Yahweh est patient et grand en force, et il n'accorde pas l'impunité. Yahweh marche dans la tempête et dans l'ouragan, et la nuée est la poussière de ses pieds.","The  Lord  is slow to anger, and great in power, and will not at all acquit the wicked: the  Lord  hath his way in the whirlwind and in the storm, and the clouds are the dust of his feet.","Ma-Vatɗina may muɗ ɦiy gosoyɗi, donota valam suwiya; nam as hin sa'a bay ka kitat kalamɗi. Ma-Vatɗina poy jar billa ma ŋolla, nam poy jar ɦiwliŋŋa; Ɗugulla mi butuw ma nam tun selem kalamna.","Nti a ne te jiʼa yaa, anene dé da so e ngule jé; a ne te jamé môt a bili mekua; Nti a lôt ôlende été a ôkôs été. Minkut mmie mi ne mbuluk ya mebo mé si.","Bumbulvuŋ anta ji mevel kutum ta gisiŋ, naŋ gidaŋ haɗa, amma mbur muzluɓ ɓi le na, Bumbulvuŋ anta pulaŋ mbaka si ta. Da ara cuh na, mbak musuwre ati burkataŋ, gazlavaya i lagwada ngi si sar naŋ.","Jawmiraawo o tikkataa law, ammaa semmbe maako ɗuuɗi, o accataa hiitaago aybuɗo sam! Laawol maako ɗon caka duluuru e naargewol, duule ngoni collaaje ɗe kosɗe maako umminta. ","Jawmiraawo o tikkataa law, ammaa semmbe maako ɗuuɗi, o accataa hiitaago aybuɗo sam! Laawol maako ɗon caka duluuru e naargewol, duule ngoni collaaje ɗe kosɗe maako umminta. ","GASA WAN de nyimsea nɛ haya-a na, ɓɛɛ mɔ kpɔk, ŋgai kɔ̧-a̧ bo nɛ mɔɔ-tɔ̧-na; a̧ e wi-de-ɗaŋmɔ gee na ndóndóndó. Fara-nɛɛ kɔ̧-a̧ nɛ ti kóró-ɓɔrɔ in búk-kórò; tura-zan nɛ kutumu̧i̧ naŋ-a.","GASA WAN de nyimsea nɛ haya-a na, ɓɛɛ mɔ kpɔk, ŋgai kɔ̧-a̧ bo nɛ mɔɔ-tɔ̧-na; a̧ e wi-de-ɗaŋmɔ gee na ndóndóndó. Fara-nɛɛ kɔ̧-a̧ nɛ ti kóró-ɓɔrɔ in búk-kórò; tura-zan nɛ kutumu̧i̧ naŋ-a.","Nahe Mahwətə kenza kande səwə ghena, nahe berete ta ŋkɛ kenza wəbake, ama kave nda ma fete Mahwətə ke nde beze ghena we. Ma vəa ŋkwa nya dzeghwa ŋkɛ ne, kavɛ sefə nya wəba berekə berekə. Nahe yɛ ləmbə kenza kakeləwə nya tələ seɗa ta ŋkɛ.",Manwur bay go caa jiili gus wa. AÀ kluu wer eegre äe no. AÀ men jobo bay liñgi gaè. Manwur see diñ nen siwil wo de degurleege. Swaare wo diñ äurgi ma äaale äe wo.
NAM.1.4," Il menace la mer et il la dessèche, et il fait tarir tous les fleuves. Basan et le Carmel sont flétris, flétrie est la végétation du Liban.","He rebuketh the sea, and maketh it dry, and drieth up all the rivers: Bashan languisheth, and Carmel, and the flower of Lebanon languisheth.","Nam as ɦiwir niy-lum ma ŋolla, som goyo, niy-lumna ma gurayn kaw nam as som goyo. Yam nagat Basan hiɗi yam hiɗiyt Karmel nam ɓom goy haɓi, ɓona vi slen ma hay Libaŋ yakay goy kafe,","A bamé mañ, me ve kôt, a vele asôé ese. Basañ a Karmel ba joʼolan. Sam ya Libañ fe ja joʼolan.","A mbura himaˀ da mubuliye, a hisik ngbatataŋ, a hisika yam ngi mizawaya cek. Ɓuh ngi Basaŋ ati Karmele, a vus ti vus, gwat tukuzo ngi ruwuy Libaŋhay a ɓutom.","O telɓanan mbeela e nga yooran, o ɓeeɓnan maaje fuu. Lesɗe Baasan e Karmel mbaatan, pinndi dow Libanon boo ɗaylan. ","O telɓanan mbeela e nga yooran, o ɓeeɓnan maaje fuu. Lesɗe Baasan e Karmel mbaatan, pinndi dow Libanon boo ɗaylan. ","Kà a̧ tɔ̧ wen nɛ nyimsea ha̧ gba-tɔp, ɓɛɛ gba-tɔp'i ɔ̧sa̧ ndaɗi ta̧i-ta̧i̧. Nɛ a̧ a̧ de ha̧ o nana-yì lɛŋ mɛ ɔ̧sa̧; nu Basaŋ in nu Karmɛl kora, ɓɛɛ o ɓɔɔ-te nu Libaŋ fe lɛsuu.","Kà a̧ tɔ̧ wen nɛ nyimsea ha̧ gba-tɔp, ɓɛɛ gba-tɔp'i ɔ̧sa̧ ndaɗi ta̧i-ta̧i̧. Nɛ a̧ a̧ de ha̧ o nana-yì lɛŋ mɛ ɔ̧sa̧; nu Basaŋ in nu Karmɛl kora, ɓɛɛ o ɓɔɔ-te nu Libaŋ fe lɛsuu.","Kaŋele ndərə ŋkɛ ba'a kahase ŋkɛ, kashifə pɛtɛa yɛ hələ ŋkɛ. Tagha gɛ, kaghwele gwəzə nyi mbe Bashan ba'a nyi dzeme hwa ghweme ta Karmɛl, katiwɛɗi ghwə ta wəfe nyi mbe Liban.",AÀ caa poçoç ne maaroge day se oçg go. AÀ oçg maarog ma de paçaçregen wo go äuy. Sir Basañ wo de huuli Karmel puu wo go. Fuëgi feçeçre ma Libañ lwaë wo go lay.
NAM.1.5," Les montagnes tremblent devant lui, et les collines se fondent ; la terre se soulève devant sa face, le monde et tous ceux qui l'habitent.","The mountains quake at him, and the hills melt, and the earth is burned at his presence, yea, the world, and all that dwell therein.","Hay li ma nam jika, hiɗiyn kaf geɗ vokomu, boŋoloŋŋa mun goyo, vokomu nagat wira, slen ma gaa kay nagatna kaf kaw.",A bo minkôle na mi fôʼôsan; a bone minkôle na mi nyemé si ja bulekan asu dé émo a bôte bese be too été.,"Muwãhay a jijikam a mbuŋ naŋ, li miɗingirey a luwuslam. Hirwuy a jijik a mihiri naŋ, duniya ati mizli ngi raˀahaya gar a jijikam.","Kooseeje ndiwnan daliila maako, towndiije ɓolwan. Lesdi dimmboto yeeso maako. Non boo duniyaaru e jooɗiiɓe nder maaru fuu. ","Kooseeje ndiwnan daliila maako, towndiije ɓolwan. Lesdi dimmboto yeeso maako. Non boo duniyaaru e jooɗiiɓe nder maaru fuu. ","O gasa kaya nak nak sɛn ti GASA WAN; o zu-tɔ̧́ yeli yeli, ɓɛɛ nu bin bin ti a̧ nɛ oi bíí in o mɔ nɛ ya sɛnɛ lɛŋ.","O gasa kaya nak nak sɛn ti GASA WAN; o zu-tɔ̧́ yeli yeli, ɓɛɛ nu bin bin ti a̧ nɛ oi bíí in o mɔ nɛ ya sɛnɛ lɛŋ.","Kagaŋkəɗə yɛ ghweme kwa kema ta ŋkɛ, kadase yɛ wəmbə. Kagaŋkəɗə hɛɗi kwa kema ta ŋkɛ, hɛɗi lema ba'a pɛtɛa wəshi nyi te.","AÀ fï¡ë huulin wo, ngeel ma de farge ciñn dwas wo go. Sir daë do äe, tamsir de jar ma äil äen wo äuy lay."
NAM.1.6," Devant sa fureur qui subsistera, qui tiendra contre l'ardeur de sa colère ? Son courroux se répand comme le feu, et les rochers se brisent devant lui.","Who can stand before his indignation? and who can abide in the fierceness of his anger? his fury is poured out like fire, and the rocks are thrown down by him.","Sa ma as col vok ɦiyda valamu mi gige? Sa ma as li nar kay ɦiyda vi Ma-Vatɗinɗi mi gige? ɦiyda valamu mer goyo ki kuta nala, hiɗiyn mun goy vokomu.",Za a ne jibi ayaa dé? A za a ne tebe ayôñ ayaa dé e ngame yat? ayaa dé da mialan ane nduan a bôé mekôk.,"Macici avu himaˀ naŋ gu i waka? Da naŋ miji mevel le na, maɓusa ɓi nah gu i waka? Ji mevele mufõh fõh na, a slikiɗ ka vu matiɓi giw giw, mandazlay muwãhaya a ndislam kpah kpah a mbuŋ naŋ.","Moy dartoto yeeso ɓernuki maako? Moy waawata dartanaago tikkere maako saatunde? Ɓernuki maako ɗon waanjo bana yiite, tapaaje ceeki yeeso maako. ","Moy dartoto yeeso ɓernuki maako? Moy waawata dartanaago tikkere maako saatunde? Ɓernuki maako ɗon waanjo bana yiite, tapaaje ceeki yeeso maako. ","Nɛ o'o tɛ yor ŋgimbi ŋga nyimsea kɔ̧-a̧ o? Nyimsea kɔ̧-a̧ kpɔra hee wee ga, ɓɛɛ kam-ta kifi geemɔ mbulɛɛ ti a̧.","Nɛ o'o tɛ yor ŋgimbi ŋga nyimsea kɔ̧-a̧ o? Nyimsea kɔ̧-a̧ kpɔra hee wee ga, ɓɛɛ kam-ta kifi geemɔ mbulɛɛ ti a̧.","Wa nde nza kasəwəte hwepe wənəa ŋkɛ wa? Wa nde nza kaghereŋe yitea ghweme vəa ŋkwa nya tse hwepe wənəa ŋkɛ wa? Kala tse ta ghwə nya wəba pesle geva ŋkɛ, kapeperawe yɛ gela kwa kema ta ŋkɛ.","Wose oo ge yañ pel caage jiili äen la? Wose dig gi bagge poçoç äe ma de haçaç yañ la? Äil de wañ äen do wuu nono, huuli wo dra' mbug wo go pel äe."
NAM.1.7," Yahweh est bon ; il est un refuge au jour de la détresse, et il connaît ceux qui se confient en lui.","The  Lord  is good, a strong hold in the day of trouble; and he knoweth them that trust in him.","Ma-Vatɗina nam ŋaa'a, hay li ma nay ka vun-zlata, nam as ŋayay talamu, sum sa vi kuɗumna nam wisiya.","Nti a ne mbamba môt, a ne vôme ya sobô e môse ya njuk; a baʼale ba ba ke sobô be nye, jaʼan éyoñe ntyôa ô ne ngu wo lôt.","Bumbulvuŋ naŋ mezleŋ, ar hin ngi bonoyo, i li ɗum ngi mburu. Mizli maɗumom ava na, a ki slimiɗ ar taŋ.","Jawmiraawo o booɗɗo, o hisrude nder nyalaade ɓillaare. O ɗon hakkilana tawɓe hisrude haa maako. ","Jawmiraawo o booɗɗo, o hisrude nder nyalaade ɓillaare. O ɗon hakkilana tawɓe hisrude haa maako. ","GASA WAN nɛ gba de-wi; a̧ nɛ fara-hu̧si-tɛ wese ŋga bɔnɛ. A̧ yor ɗoŋ o wi-e-ta nɛ a̧,","GASA WAN nɛ gba de-wi; a̧ nɛ fara-hu̧si-tɛ wese ŋga bɔnɛ. A̧ yor ɗoŋ o wi-e-ta nɛ a̧,","Nahe Mahwətə kenza ganyɛke, nahe ŋkɛ kenza kaŋkwa kewəfərə te vecia ndiremi. Kanewe ghweme ŋkɛ te mbeli nyi nza ŋkɛ kaŋkwa kewəfərə ta nci,",Manwur de ele. AÀ diñ ngeel yoñre ti wur ma de bonn wo. AÀ ëaw jar maga a wo yaçaç wañ see äe do.
NAM.1.8," Par un flot débordant il détruira entièrement  ce  lieu, et il poursuivra ses ennemis jusque dans les ténèbres.","But with an overrunning flood he will make an utter end of the place thereof, and darkness shall pursue his enemies.","May nam ma ɓulak hoyok-ziyn ŋolona goyo, hiɗi birina ma sulur niyn goyna, sa gawt kalamna nam ma gisi dirsi ta-ta hay jufunda.","Ve a ye jiane vôme nyôna ne meñ a mendim ya ndôn, a a ye tôñesane besiñe bé akekui dibi été.","Ko da mendere ara cuh kaɓa mekepel madiɗa kwana, a ki slimiɗ ar taŋ na si. Amma a hirya walahay avra,  a ɓula mesene naŋhaya sesẽŋ ng'ar li luvuŋ.","O hisnan ɓe e ilam mawɗam. Ammaa o nattinan nokkuure berniwol, o taasnan konne'en maako haa yotto nder nyiɓre.","O hisnan ɓe e ilam mawɗam. Ammaa o nattinan nokkuure berniwol, o taasnan konne'en maako haa yotto nder nyiɓre.","ɓɛɛ a̧ kpasa wa ŋgimbi ha̧a̧-yì. A̧ kum nɛ o wi-de-ŋgazu in a̧, ɓɛɛ a̧ ndaka o wisɛn kɔ̧-a̧ a ti tum mbɛt.","ɓɛɛ a̧ kpasa wa ŋgimbi ha̧a̧-yì. A̧ kum nɛ o wi-de-ŋgazu in a̧, ɓɛɛ a̧ ndaka o wisɛn kɔ̧-a̧ a ti tum mbɛt.",vəa ŋkwa nya se ndiremi kala ghwa. Ama kaza sebe ŋkɛ te ka ghema ta ŋkɛ ba'a kakeka hɛ ŋkɛ kadzembe ŋkwesle.,"Ama aà kañ ge bon ma de raw ti jar yañ wo ne jar ti, Day se älag ge ngeeln go has äuy tu. AÀ nii gi jar hee äen wo yañ, AÀ kañ ge glog äaara yañ wo go nen suñgu."
NAM.1.9, Quelles sont vos pensées sur Yahweh ? Il consommera la ruine ; la détresse ne surgira pas deux fois.,What do ye imagine against the  Lord ? he will make an utter end: affliction shall not rise up the second time.,Nigi var joo'o kay Ma-Vatɗin lo kay mige? Namu mi ma ɓulak slen goyo. Nay as kal vun-zlat sem ma' loɗi.,Mia bôndé feʼe ya bo Nti jé? Nye a jian ne meñ! Ôlun woo ye ke bo biyoñ bibaé.,"Ki gam gidiɓi mi ar Bumbulvuŋ ka? Mizli mazliram ti kum ta na, a ngizla taŋ pay, bonoy anta sa mo mata.",Ɗume nufoton dow Jawmiraawo? Kaŋko o nattinan on fuu. Walaa haaje sarru waɗa nde ɗiɗi. ,Ɗume nufoton dow Jawmiraawo? Kaŋko o nattinan on fuu. Walaa haaje sarru waɗa nde ɗiɗi. ,Nɛ ge ɗaŋ keta ge ɛ̀nɛ̀ ba zu GASA WAN’ɛ ge? A̧ tɛ yai o mɔɔ nɔ‘i lɛŋ a nu; ŋga bɔnɛ beka pii ɗoŋ war yiitoo ɓɔna.,Nɛ ge ɗaŋ keta ge ɛ̀nɛ̀ ba zu GASA WAN’ɛ ge? A̧ tɛ yai o mɔɔ nɔ‘i lɛŋ a nu; ŋga bɔnɛ beka pii ɗoŋ war yiitoo ɓɔna.,"Kande wa zhɛrete Mahwətə yɛ wa? Gheŋkɛ ne, kaza sebe ŋkɛ te ka ghema ta ŋayɛ, katezhɛne hɛ kasa ŋayɛ yaka we.",Nday ëig ree mayse de älagge ti Manwur mo la? Älag feçeçren wo go äuy na diñ se. Reen dog ge caa jar äog gaè.
NAM.1.10," Car, entrelacés comme des épines, et comme ivres de leur vin, ils seront consumés comme de la paille toute sèche.","For while they be folden together as thorns, and while they are drunken as drunkards, they shall be devoured as stubble fully dry.","La nisi slewi jar-tuwsi ki zigiyn nala kaw, la nisi hiwiri kay dolay ma nisi cumna kaw, kut ma ŋalsi goy noŋ kafe ki us ma soyn nala.","Toʼo be maneya tiñetan ane minsinik, toʼo be biliya a nyuane bilam, ba ye mane diʼi bese ane minkôte bilok.","Asi taŋ slilah slilah kaɓa sisim, yo taŋ muwam wãˀ ti mbaazla tuwa na, a sa zlizliraka taŋ pay kaɓa giziŋ muˀulo.","Koo to on laatake bana wumre gi'e naŋngindiranɗe, wuykiraaɓe njaramji muuɗum'en, on ngulan fuu bana huɗo yoorko. ","Koo to on laatake bana wumre gi'e naŋngindiranɗe, wuykiraaɓe njaramji muuɗum'en, on ngulan fuu bana huɗo yoorko. ","Koo wa yaa so kaɓali ŋmaa hee da̧a̧-tɛn ga, nɔ nɛ dɔ̧ɔ̧ kɔ-wa gbɛ nɛnɛ, wa tɛ bíí wee lɛŋ hee kora zɔ̧ ga.","Koo wa yaa so kaɓali ŋmaa hee da̧a̧-tɛn ga, nɔ nɛ dɔ̧ɔ̧ kɔ-wa gbɛ nɛnɛ, wa tɛ bíí wee lɛŋ hee kora zɔ̧ ga.","Nahe hɛ kenza kala gezlere nyi tendɛaŋe tendɛaŋe, ghenci nyi kesa wəshi kesa kala ka ghwəyi ghwəyi. Kateteremte geva hɛ hɛmɗɛke ɗɛke kala vegheme nyi keghwele ghwele.","A mo hayba do brem ma de hee do krigi noga wo go de taage de yii äaaran yaw, A roë ge wo yañ go façd äuy do fi ma de heeg nono."
NAM.1.11," De toi est sorti celui qui médite le mal contre Yahweh, celui qui forme des desseins criminels.","There is one come out of thee, that imagineth evil against the  Lord , a wicked counsellor.","Goy hay nak (Ninive) pa, sa ma ka hiɗi varta joota kali goyo, namu mi ma ka hiɗi varta ta ɦay-ɦayta.","Môt a nga bôndé feʼe ya bo Nti abé a nga so be wo, nyô a nga bili asimesane momo môt.","Hirwuy Niniv, mbur magi gidiɓi ar Bumbulvuŋ ngi gi malambaˀ na, a bo tivi ka, i mbur misi wuluk malambaˀa.","An Niniwe, haa maaɗa goɗɗo mo nufi kalluɗum dow Jawmiraawo iwi, anniyaaji maako kalli masin.","An Niniwe, haa maaɗa goɗɗo mo nufi kalluɗum dow Jawmiraawo iwi, anniyaaji maako kalli masin.","Ninivɛ, wi nɛ taa so mɛ de ɗaŋmɔ in GASA WAN gboo nɛ tɛ mɛ. A̧ duka so nɛ wi-ba-ɗaŋ keta nyɛmna.","Ninivɛ, wi nɛ taa so mɛ de ɗaŋmɔ in GASA WAN gboo nɛ tɛ mɛ. A̧ duka so nɛ wi-ba-ɗaŋ keta nyɛmna.","Ninive, mbe gha shave wəndə nya kezəzə wəsə kwa ndiremi te Mahwətə, wəndə nya kezəzə wəshi nyi ndiremi ndiremi kashasha.","Je maga hay ëig ree ma de älagge ti Manwuri, Day ëiggi ma debaycoçoçren hay wo le äil äe hay kal le go na ni äo."
NAM.1.12," Ainsi parte Yahweh : Bien qu'ils soient intacts et nombreux, ils seront moissonnés et disparaîtront. Je t'ai humiliée et je ne t'humilierai plus.","Thus saith the  Lord ; Though they be quiet, and likewise many, yet thus shall they be cut down, when he shall pass through. Though I have afflicted thee, I will afflict thee no more.","Ki kayn nala Ma-Vatɗin di'e: La sa gaw kigina ka ŋolo, dono misi kaw, feɗna ma co kisiya ta-ta nisi as hin loɗi, nan hotgi yigi gaa'a, hot yam gaa'a mara ma suw kayn may loɗi.","Avale di nde Nti a jô na: Nge be ne bese, toʼo be ne abui aya nge ngu, ba ye jañ, jôm teke liʼi. Akôsa bo me nga liti wo njuk maa ye ke beta liti wo wô.","Bumbulvuŋ a ɓi ani: «Ko da mesene kumoy a ndilaka le gucuˀo, yo taŋ haɗa tekeɗe kwana, a sa ngizlam pay na si, ɓi taŋ a sa kiɗ mi. Yi hunukum duba le wãˀ ti bonoy zleˀe, amma y'anta sa mahiri naŋ mata.","Ndaa nii Jawmiraawo ɗon wi'a: “Koo to ɓe ngardi ɓe fuu e no ɓe ɗuuɗɗiri fuu, ɓe kalkan, ɓe timman. Onon Yahuudu'en, mi toskini on, ammaa mi meetataa toskingo on. ","Ndaa nii Jawmiraawo ɗon wi'a: “Koo to ɓe ngardi ɓe fuu e no ɓe ɗuuɗɗiri fuu, ɓe kalkan, ɓe timman. Onon Yahuudu'en, mi toskini on, ammaa mi meetataa toskingo on. ","Wen nɛ GASA WAN tɔ̧ ha̧ o be Juda nɛ mɔ'ɔ: «Koo wa ŋgaia so nyɛmna, koo wa dɔka so nyɛmna mbɛt, wa tɛ kum gbuɗuk. Mi pi̧i̧ so buu zu'nɛ́, ɓɛɛ mi beka de hegɔ woyo ɓɔna.","Wen nɛ GASA WAN tɔ̧ ha̧ o be Juda nɛ mɔ'ɔ: «Koo wa ŋgaia so nyɛmna, koo wa dɔka so nyɛmna mbɛt, wa tɛ kum gbuɗuk. Mi pi̧i̧ so buu zu'nɛ́, ɓɛɛ mi beka de hegɔ woyo ɓɔna.","Wa nya ghena nya geze nda Mahwətə ke ka Zhəwda nya: «Ya ka jaga ta ŋayɛ nza kwele kwele ba'a kaka berete berete ne, katempə hɛ ba'a kateza sebe te hɛ. Ma nda kelemte zləvə 'ya te gheyɛ ne, kezha zhɛnema 'ya kakele zləvə te gheyɛ.","Mokay diñ waçaçre maga Manwur waçaçn mono: A mo hayba wo go de bag jag äuy noga wo ngaäa do mayse no yaw, AÈ sañ ge ra go day sen taw ge dosen no tu no. Ndi da mbuë fo äo go nen maga ndi mbuë gi fo äo de dañ sen wa so hase."
NAM.1.13," Et maintenant,  ô Juda,  je briserai son joug de dessus toi, et je romprai tes liens.","For now will I break his yoke from off thee, and will burst thy bonds in sunder.","Jak ma nekŋa ma nisi tunum kigina nan ma slum goyo, zigew ma nisi jungi hiɗi namna nan min butum goyo.","Eyoñe ji ma ye buʼu ébôñeté jé é vase be wo, a ma ye té mengataʼa môé.","Wurenna, i ra ngila galalaŋ naŋ mihirisl ar kum vuna, yo i ra pusukukum celelu kumoy avra.»","Jonta ngewanmi kaɓɓirgal maɓɓe, mi itta ngal dow daaɗe mooɗon, mi ta'an callalluuji mooɗon.”","Jonta ngewanmi kaɓɓirgal maɓɓe, mi itta ngal dow daaɗe mooɗon, mi ta'an callalluuji mooɗon.”","Kinii, mi tɛ ba kpáŋá ko Asirii ger'nɛ́ yinɛ, ɓɛɛ mi ŋmana nyak-zɔɓɔ kɔ-wa tɛ‘nɛ́ yinɛ mbɛt.»","Kinii, mi tɛ ba kpáŋá ko Asirii ger'nɛ́ yinɛ, ɓɛɛ mi ŋmana nyak-zɔɓɔ kɔ-wa tɛ‘nɛ́ yinɛ mbɛt.»","Ma tsetsenya ne, 'ya kaŋsle berete nya kesa ŋayɛ yaka ba'a kapele yɛ zewe lɛa ŋayɛ.»",Ndi hrag ge jug äen yañ go patala ma mañge äe go mo soole. Ndi hrag ge geyam ma de mbarge ne ndon wo yañ go.
